
> 2-battleships@1.0.0 dev
> vite


  VITE v7.3.1  ready in 345 ms

  ➜  Local:   http://localhost:5173/pilot/
  ➜  Network: use --host to expose
11:17:03 AM [vite] (client) page reload src/presentation/3d/entities/FogVisibility.ts
11:17:12 AM [vite] (client) page reload src/presentation/3d/entities/FogVisibility.ts
11:52:16 AM [vite] (client) page reload src/presentation/3d/interaction/InputFeedbackHandler.ts
11:59:59 AM [vite] (client) page reload src/presentation/3d/interaction/InteractionManager.ts
12:06:36 PM [vite] (client) page reload src/presentation/3d/entities/FogVisibility.ts
12:13:31 PM [vite] (client) page reload src/presentation/3d/entities/FogVisibility.ts
12:14:23 PM [vite] (client) page reload src/presentation/3d/entities/FogManager.ts
1:00:35 PM [vite] (client) page reload src/application/ai/AITargeting.ts
1:01:57 PM [vite] (client) page reload src/application/ai/AIEngine.ts
1:03:10 PM [vite] (client) page reload src/application/game-loop/EnemyTurnHandler.ts
1:04:14 PM [vite] (client) page reload src/application/ai/AITargeting.ts
1:05:51 PM [vite] (client) hmr update /src/style.css?direct
1:07:56 PM [vite] (client) page reload src/application/game-loop/TurnExecutor.ts
